,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,duration_min
1,0mKGwFMHzTprtS2vpR3b6s,COZY,Beyoncé,0.556,0.63,7,-8.15,1,0.102,0.000828,0.00468,0.155,0.367,149.147,0mKGwFMHzTprtS2vpR3b6s,5,3.5062
39,02rdXe0KhMe8p6ZHzYtuw0,lost souls (with Brent Faiyaz),"Baby Keem, Brent Faiyaz",0.649,0.347,1,-7.67,0,0.404,0.485,3.24e-05,0.154,0.176,169.994,02rdXe0KhMe8p6ZHzYtuw0,4,4.495466666666666
70,097ftnCPnGHhn93lS0HHlO,Twinkle Twinkle Little Star,Cocomelon,0.459,0.206,0,-9.694,1,0.0282,0.673,0.0,0.294,0.354,160.072,097ftnCPnGHhn93lS0HHlO,4,2.95795
78,5txSLkf7BeYIgTtUnVDDG8,Old MacDonald,Cocomelon,0.704,0.479,1,-12.362,1,0.0348,0.292,1.14e-06,0.0419,0.936,199.841,5txSLkf7BeYIgTtUnVDDG8,4,2.45245
30,4gY2S5FOKy3dUIGNJyt3dB,RAIN,Jack Harlow,0.876,0.607,1,-6.736,1,0.103,0.00181,1.69e-05,0.107,0.131,101.002,4gY2S5FOKy3dUIGNJyt3dB,4,3.2773166666666667
37,4DiNls6kFmF1ZittKsPsTc,Mr. Telephone Man,New Edition,0.727,0.45,2,-13.32,1,0.0291,0.127,0.0,0.0544,0.895,94.039,4DiNls6kFmF1ZittKsPsTc,4,3.986
35,7zvfDihYiJ8RQ1nRcpKBF5,Mr. Morale,"Kendrick Lamar, Tanna Leone",0.727,0.53,9,-8.616,1,0.312,0.283,2.76e-05,0.392,0.258,174.025,7zvfDihYiJ8RQ1nRcpKBF5,3,3.5140166666666666
38,5ygDXis42ncn6kYG14lEVG,Baby Shark,Pinkfong,0.829,0.886,8,-1.746,1,0.112,0.259,0.0,0.0559,0.777,115.056,5ygDXis42ncn6kYG14lEVG,4,1.3487833333333332
51,3diZz7nVRbyuvAXSW7hzI7,hooligan,Baby Keem,0.602,0.701,5,-5.604,0,0.09,0.263,1.02e-06,0.112,0.375,124.033,3diZz7nVRbyuvAXSW7hzI7,4,2.6129
9,6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,4,4.099
71,1JgkiUg9mSXSwcb5Gbi4Ur,Lean 4 Real (feat. Skepta),"Playboi Carti, Skepta",0.754,0.775,7,-5.077,1,0.066,0.0302,0.0,0.362,0.159,76.01,1JgkiUg9mSXSwcb5Gbi4Ur,4,2.95045
45,165cwz4wGlGz0uDBhxdKLY,Right,Mac Miller,0.682,0.281,5,-14.267,1,0.126,0.804,0.359,0.106,0.475,82.954,165cwz4wGlGz0uDBhxdKLY,4,4.79785
57,2F1joi8e5QNJbEvUsL4V4p,Alles was du willst,Nura,0.869,0.65,5,-5.472,0,0.0546,0.0584,0.000346,0.0553,0.862,132.048,2F1joi8e5QNJbEvUsL4V4p,4,2.534883333333333
5,69Ej1xrGjOcHvIMtMKxK0G,Dile,Don Omar,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,69Ej1xrGjOcHvIMtMKxK0G,4,3.41
53,0ouSkB2t2fGeW60MPcvmXl,The HampsterDance Song,Hampton The Hampster,0.725,0.924,6,-7.851,0,0.0414,0.131,0.313,0.948,0.967,136.034,0ouSkB2t2fGeW60MPcvmXl,4,3.548016666666667
67,1pKYYY0dkg23sQQXi0Q5zN,Around the World,Daft Punk,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,1pKYYY0dkg23sQQXi0Q5zN,4,7.158883333333334
42,3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,3LtpKP5abr2qqjunvjlX5i,4,1.6232166666666668
65,13HsOwrwTA5HgLuoaDHncP,RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator, Teezo Touchdown",0.665,0.469,10,-7.778,0,0.13,0.565,0.000317,0.219,0.142,115.852,13HsOwrwTA5HgLuoaDHncP,4,3.8260833333333335
69,46efwIlSpvdURIubZCs3jC,Bomb Thrown,"CZARFACE, MF DOOM",0.574,0.593,0,-9.942,0,0.375,0.0303,0.157,0.369,0.392,176.243,46efwIlSpvdURIubZCs3jC,4,4.537416666666667
73,6cKlr2BOXBaqiuaHUY5Zwo,Itsy Bitsy Spider,Cocomelon,0.919,0.289,2,-12.244,1,0.048,0.586,3.19e-06,0.075,0.866,100.042,6cKlr2BOXBaqiuaHUY5Zwo,4,2.162716666666667
55,0AebTfWLeSJwYvfaPouOsp,"Alouette, gentille alouette",La Reine des chansons pour enfants et bébés,0.752,0.255,11,-14.008,0,0.0508,0.928,0.0,0.138,0.745,81.995,0AebTfWLeSJwYvfaPouOsp,4,1.7666666666666666
86,6vdxvzLUXWY2b8nku5gxwt,Dans sa chambre,IZAID,0.537,0.498,10,-7.971,1,0.303,0.779,0.000651,0.096,0.358,85.501,6vdxvzLUXWY2b8nku5gxwt,4,3.0650666666666666
75,7zD97mcPo9fng0aJqUhFvd,Baby Shark,Cocomelon,0.779,0.587,7,-8.131,1,0.0721,0.33,3.85e-06,0.0792,0.908,199.956,7zD97mcPo9fng0aJqUhFvd,4,2.12005
6,4phvdPGXE8MGXsTBhqB5ht,Suave (Remix),"El Alfa, Bryant Myers, Jon Z, Miky Woodz, Noriel, Plan B",0.875,0.909,9,-3.558,1,0.076,0.14,0.00185,0.0616,0.524,119.999,4phvdPGXE8MGXsTBhqB5ht,4,5.0921
60,0F7FA14euOIX8KcbEturGH,Old Town Road,Lil Nas X,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,0F7FA14euOIX8KcbEturGH,4,1.8833333333333333
76,3DkSirQyz93TaxZ0f0DloI,My Ex,PnB Rock,0.411,0.523,9,-7.063,1,0.259,0.754,0.0,0.137,0.532,81.793,3DkSirQyz93TaxZ0f0DloI,4,2.8398833333333333
68,66IKvX3qEtGZXWz8xLG7dv,Everyday,"Br3nd4n, NOLAN",0.655,0.496,9,-11.033,1,0.223,0.732,0.0,0.137,0.918,173.924,66IKvX3qEtGZXWz8xLG7dv,4,3.3108166666666667
13,0qvlhVNm7L5IWabWF5hlEL,Rock The Boat,Aaliyah,0.637,0.725,5,-5.073,1,0.0333,0.0702,0.00438,0.203,0.415,92.99,0qvlhVNm7L5IWabWF5hlEL,4,4.578883333333334
23,2cZ5ACJfBj2uAXARdHpjAW,The Anthem,"Pitbull, Lil Jon",0.793,0.781,10,-4.277,0,0.186,0.00459,1.68e-06,0.0846,0.883,123.996,2cZ5ACJfBj2uAXARdHpjAW,4,4.08425
31,0PyJRNmJvJJ5OmffwQf5we,State Fair,Jack Harlow,0.846,0.603,6,-6.41,1,0.187,0.16,0.0,0.198,0.598,95.032,0PyJRNmJvJJ5OmffwQf5we,4,3.2421
56,2mzM4Y0Rnx2BDZqRnhQ5Q6,Free Mind,Tems,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,2mzM4Y0Rnx2BDZqRnhQ5Q6,5,4.126316666666667
44,6jn5Zhesz34c1sqtllJVWq,Mr. Telephone Man - Remix,"New Edition, Louil Silas Jr.",0.782,0.417,2,-10.591,1,0.0623,0.0912,0.0,0.0508,0.654,93.938,6jn5Zhesz34c1sqtllJVWq,4,6.533333333333333
59,5nayhWICkQGMTkisxVMbRw,FlatBed Freestyle,Playboi Carti,0.755,0.552,9,-5.604,1,0.288,0.0967,0.0,0.158,0.402,153.157,5nayhWICkQGMTkisxVMbRw,4,3.2328833333333336
64,5pHJv0bgNsT9nPoK2BjNBn,No Time (feat. Gunna),"Playboi Carti, Gunna",0.943,0.763,5,-5.568,0,0.158,0.0175,1.8e-05,0.114,0.225,139.969,5pHJv0bgNsT9nPoK2BjNBn,4,3.65755
28,7IaeavdRzXYQWfu2Wt5GlU,Currents,Drake,0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013,7IaeavdRzXYQWfu2Wt5GlU,4,2.6231666666666666
26,59BrMMx45o2Q7GtJALMhAQ,Moanin',Mingus Big Band,0.392,0.683,8,-9.654,1,0.125,0.0639,0.000599,0.392,0.593,115.934,59BrMMx45o2Q7GtJALMhAQ,4,8.989333333333333
17,2lH43POZa4XHxydnZizET5,TTM (feat. Wiz Khalifa & NGHTMRE),"PnB Rock, Wiz Khalifa, NGHTMRE",0.786,0.82,6,-3.254,0,0.0587,0.0975,0.0,0.0751,0.597,120.047,2lH43POZa4XHxydnZizET5,4,3.533333333333333
74,424qpX6swdUdhLq95cecNu,Pull Up,Playboi Carti,0.842,0.596,2,-7.569,1,0.3,0.0109,0.000177,0.114,0.57,156.999,424qpX6swdUdhLq95cecNu,4,3.6066666666666665
83,4TSDz7xZtxIXeKwiOuCe25,Me U & Hennessy (feat. Lil Wayne),"DeJ Loaf, Lil Wayne",0.417,0.551,2,-8.361,1,0.272,0.56,0.0,0.129,0.216,86.848,4TSDz7xZtxIXeKwiOuCe25,4,3.7495333333333334
19,2sOj9vyd6yiss9W1IK6chU,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","DJ Khaled, Rick Ross, Lil Wayne, JAY-Z, John Legend, Fridayy",0.42,0.725,8,-4.262,1,0.223,0.092,0.0,0.18,0.186,77.941,2sOj9vyd6yiss9W1IK6chU,1,8.3608
54,4jw87bP3TuCGm15g9kc64g,Ride,Doja Cat,0.722,0.592,9,-6.718,0,0.383,0.224,0.000697,0.0714,0.828,199.719,4jw87bP3TuCGm15g9kc64g,4,2.94555
43,2eUOoOf6q0e9FIK01SJMjT,Personality (feat. T Pain),"Lil Dicky, T-Pain",0.768,0.709,5,-4.87,0,0.196,0.227,0.0,0.504,0.824,95.972,2eUOoOf6q0e9FIK01SJMjT,4,4.31395
63,2GPTiPR5db727wu1tFvFt4,New Again,Kanye West,0.679,0.673,6,-5.17,0,0.189,0.066,0.0,0.479,0.295,91.112,2GPTiPR5db727wu1tFvFt4,4,3.05495
3,1w7cgGZR86yWz1pA2puVJD,HEATED,Beyoncé,0.785,0.732,1,-5.724,1,0.164,0.0636,0.000807,0.265,0.496,110.952,1w7cgGZR86yWz1pA2puVJD,4,4.346183333333333
79,58k32my5lKofeZRtIvBDg9,HONEST,Baby Keem,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37e-05,0.105,0.373,79.037,58k32my5lKofeZRtIvBDg9,4,2.877866666666667
0,1MpCaOeUWhox2Fgigbe1cL,I'M THAT GIRL,Beyoncé,0.554,0.535,5,-8.959,0,0.186,0.0616,1.32e-05,0.124,0.136,105.865,1MpCaOeUWhox2Fgigbe1cL,4,3.4669
22,2wgbyESBZ7xBkxYN2bSDOL,Day One (with Pharrell & Pusha T),"Calvin Harris, Pharrell Williams, Pusha T",0.732,0.653,9,-7.921,0,0.206,0.616,0.0,0.149,0.931,89.946,2wgbyESBZ7xBkxYN2bSDOL,4,3.3396166666666667
80,0RyA3o15NOLJYtm9NlDu5c,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)","A$AP Mob, A$AP Rocky, Playboi Carti, Big Sean",0.635,0.777,1,-6.018,1,0.231,0.181,0.0,0.357,0.177,128.09,0RyA3o15NOLJYtm9NlDu5c,4,3.6491166666666666
50,21O0XXPEWPtePt5RMY93Ob,All Caps,"Madvillain, Madlib, MF DOOM",0.358,0.889,1,-8.045,1,0.335,0.266,1.46e-05,0.172,0.666,85.61,21O0XXPEWPtePt5RMY93Ob,4,2.1746666666666665
52,5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,5cF0dROlMOK5uNZtivgu50,4,3.4797833333333332
14,6bpq1jGkVz66Q3LYeoXdjZ,SCOOP (feat. Doja Cat),"Lil Nas X, Doja Cat",0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975,6bpq1jGkVz66Q3LYeoXdjZ,4,2.9027333333333334
34,6gI9b2VsoWhjhIuIeToDVs,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,6gI9b2VsoWhjhIuIeToDVs,4,3.9837833333333332
61,7DBFslKWQzoRgO0HBBkL3u,24,Kanye West,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057,7DBFslKWQzoRgO0HBBkL3u,4,3.2983
21,5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,Steve Lacy,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,4,3.8685833333333335
77,3AO2MYgrCiTorCUura1szR,Fck Boys,"Blxst, Russ",0.63,0.491,4,-5.549,0,0.41,0.766,0.0,0.101,0.497,98.368,3AO2MYgrCiTorCUura1szR,4,2.72
81,6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,4,3.3133333333333335
41,1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,Gorillaz,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,1foMv2HQwfQ2vntFf9HFeG,4,3.3362166666666666
10,6G6ykEzZ1r7V1qrmNdBOVV,Need to Know,Doja Cat,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,6G6ykEzZ1r7V1qrmNdBOVV,4,3.509333333333333
49,4tEaytMs86hIaOSsiGoLcP,Excursions,A Tribe Called Quest,0.885,0.608,11,-10.809,1,0.169,0.386,0.0118,0.319,0.707,95.748,4tEaytMs86hIaOSsiGoLcP,4,3.91045
24,6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),Lou Bega,0.622,0.807,5,-6.752,0,0.408,0.103,0.0,0.306,0.892,174.06,6x4tKaOzfNJpEJHySoiJcs,4,3.67155
32,2zQAmeVTYjr4oDBR9r6LAG,BIG CHILLIN,Jack Harlow,0.616,0.696,1,-8.205,0,0.401,0.0111,0.0,0.262,0.483,129.05,2zQAmeVTYjr4oDBR9r6LAG,5,2.633583333333333
66,5yrXolC7Un3peiFxwqbucn,Orbit,Nao,0.601,0.49,7,-7.92,1,0.0328,0.416,2.12e-05,0.105,0.133,95.023,5yrXolC7Un3peiFxwqbucn,4,3.895783333333333
36,5hmv0zcBcIX8OIVG98imHa,Smoothies In 1991,Larry June,0.661,0.736,9,-6.876,1,0.287,0.065,0.0,0.124,0.652,91.917,5hmv0zcBcIX8OIVG98imHa,4,3.739133333333333
72,0syXbGoFZbTMXm8hGCEvW0,Old Money,Playboi Carti,0.716,0.619,2,-10.227,1,0.339,0.0271,0.0,0.342,0.584,162.958,0syXbGoFZbTMXm8hGCEvW0,4,2.259116666666667
40,7MmBhKBQnaa0I8TaDJs9ia,issues,Baby Keem,0.833,0.542,3,-8.32,0,0.0679,0.571,0.00112,0.111,0.237,132.001,7MmBhKBQnaa0I8TaDJs9ia,4,3.66355
85,2jdw2tc29bqJwToyGvKgJm,Ninety,Jaden,0.398,0.69,1,-6.809,0,0.0631,0.384,0.000437,0.129,0.174,129.904,2jdw2tc29bqJwToyGvKgJm,4,7.8028
48,6Na5uKk5SsqZimk0hAWo8y,Signs,Drake,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,6Na5uKk5SsqZimk0hAWo8y,4,3.9062166666666664
27,0C6ShwHWvn4JyvcJc1LjbS,Sticky,Drake,0.854,0.492,10,-14.779,0,0.131,0.13,0.00167,0.0846,0.0735,137.029,0C6ShwHWvn4JyvcJc1LjbS,4,4.0538
33,6kYGOFNUMxpab09L5Ukoke,Rich Spirit,Kendrick Lamar,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,6kYGOFNUMxpab09L5Ukoke,4,3.3714166666666667
82,17ZXHiyOwcSBpzqK6w1yYP,Risky,"Maanu, Arhum Sameed",0.676,0.584,11,-9.895,1,0.0681,0.541,0.00918,0.268,0.516,113.057,17ZXHiyOwcSBpzqK6w1yYP,4,3.433333333333333
25,0N3W5peJUQtI4eyR6GJT5O,King Kunta,Kendrick Lamar,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,0N3W5peJUQtI4eyR6GJT5O,4,3.91155
18,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,7KXjTSCq5nL1LoYtL7XAwS,4,2.95
16,3s5AjOPcxQDdfNoT9PbBGM,Sommer in Berlin,Juju,0.549,0.769,11,-4.795,0,0.116,0.434,0.000261,0.126,0.442,114.025,3s5AjOPcxQDdfNoT9PbBGM,4,3.053733333333333
7,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,"Bad Bunny, Chencho Corleone",0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,4,2.9761166666666665
62,3SYLoL8KHxdQPYIkfwmUjN,Remote Control,Kanye West,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,110.105,3SYLoL8KHxdQPYIkfwmUjN,4,3.310233333333333
